HTP,ATP,B365H,B365D,B365A,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
0.9285714285714286,2.0,13.00,7.50,1.16,D,W,D,W,W,W,-0.42857142857142855,1.2857142857142858,0.07653061224489796,-0.35714285714285715,9
1.1428571428571428,1.7857142857142858,1.36,5.00,7.50,W,D,L,L,W,D,0.0,-0.07142857142857142,0.045918367346938785,-0.07142857142857142,-9
2.2857142857142856,1.5714285714285714,1.25,5.25,13.00,L,W,W,L,L,D,0.9285714285714286,-0.14285714285714285,-0.0510204081632653,0.9285714285714286,-13
2.4285714285714284,1.7142857142857142,1.20,6.50,13.00,W,W,W,L,W,W,1.1428571428571428,-0.5,-0.0510204081632653,0.2857142857142857,-11
1.0714285714285714,1.7142857142857142,2.25,3.20,3.25,W,L,L,L,L,D,-0.07142857142857142,-0.5,0.04591836734693877,-0.21428571428571427,-11
0.6428571428571429,1.0,2.05,3.40,3.50,D,L,L,L,L,D,-1.0714285714285714,-1.0714285714285714,0.02551020408163265,-0.14285714285714285,3
0.7142857142857143,1.2857142857142858,4.20,3.80,1.75,W,L,L,D,D,D,-0.8571428571428571,-0.14285714285714285,0.04081632653061225,-0.35714285714285715,12
1.1428571428571428,1.2142857142857142,1.90,3.40,4.00,W,D,D,D,W,D,0.14285714285714285,0.2857142857142857,0.0051020408163265285,0.07142857142857142,0
1.0,0.8571428571428571,1.44,4.50,6.50,D,L,W,D,L,L,0.0,-0.07142857142857142,-0.010204081632653064,-0.14285714285714285,-16
1.8571428571428572,1.4285714285714286,1.65,3.80,5.00,W,W,W,L,D,L,1.6428571428571428,-0.5,-0.030612244897959186,0.5714285714285714,1
